117 100 559 | 106 100
117 100 122 | 103 95
106 100 71 | 92 95
117 100 172 | 85 95
117 100 253 | 85 95
117 100 596 | 117 100
117 100 246 | 85 95
117 100 302 | 106 100
117 100 309 | 99 97
117 100 468 | 103 95
117 100 557 | 99 97
117 100 110 | 98 93
117 100 310 | 91 91
106 100 63 | 85 95
117 100 98 | 84 88
117 100 523 | 85 95
117 100 508 | 103 95
117 100 593 | 117 100
117 100 38 | 109 99
109 99 20 | 109 99
117 100 542 | 109 99
117 100 489 | 117 100
117 100 356 | 77 81
117 100 240 | 117 100
117 100 522 | 103 95
117 100 280 | 92 95
109 99 274 | 91 91
117 100 640 | 109 99
117 100 562 | 98 93
117 100 158 | 78 98
117 100 362 | 89 98
117 100 286 | 117 100
