117 100 622 | 89 98
117 100 965 | 0 245
109 99 348 | 85 95
117 100 592 | 73 88
117 100 378 | 85 95
109 99 530 | 0 227
117 100 350 | 0 297
117 100 831 | 91 91
117 100 102 | 0 323
117 100 758 | 0 279
117 100 34 | 0 227
106 100 191 | 0 252
99 97 651 | 0 119
106 100 680 | 0 309
117 100 208 | 0 231
117 100 228 | 0 107
109 99 440 | 0 227
117 100 21 | 0 271
117 100 508 | 0 361
117 100 801 | 0 227
106 100 1 | 0 212
106 100 9 | 0 331
117 100 896 | 0 143
117 100 758 | 0 194
117 100 232 | 0 349
106 100 937 | 0 128
99 97 807 | 0 244
99 97 29 | 0 211
117 100 668 | 0 349
117 100 429 | 89 98
117 100 774 | 85 95
117 100 152 | 0 294
117 100 20 | 0 228
117 100 388 | 0 198
117 100 320 | 0 312
117 100 160 | 99 97
109 99 116 | 91 91
106 100 1 | 77 81
117 100 352 | 109 99
106 100 909 | 0 191
117 100 256 | 0 198
117 100 114 | 0 203
117 100 688 | 0 301
117 100 62 | 78 98
105 96 862 | 0 103
117 100 60 | 0 360
117 100 172 | 71 77
109 99 142 | 0 181
109 99 686 | 63 76
109 99 196 | 0 211
117 100 514 | 0 293
117 100 82 | 117 100
109 99 976 | 0 184
106 100 137 | 0 276
117 100 604 | 0 113
117 100 790 | 0 341
117 100 604 | 0 212
109 99 606 | 0 311
117 100 564 | 0 349
117 100 684 | 0 319
109 99 80 | 0 311
117 100 664 | 97 95
117 100 378 | 0 466
105 96 148 | 0 449
106 100 137 | 0 167
106 100 853 | 79 85
117 100 190 | 0 318
117 100 422 | 84 88
106 100 45 | 0 230
117 100 62 | 0 209
106 100 259 | 87 93
109 99 414 | 0 286
109 99 473 | 0 219
117 100 731 | 0 197
117 100 530 | 0 286
117 100 212 | 0 356
117 100 217 | 0 239
117 100 592 | 80 91
106 100 569 | 0 193
109 99 724 | 0 368
117 100 248 | 0 202
117 100 475 | 0 117
117 100 50 | 0 308
117 100 178 | 90 92
117 100 314 | 0 284
109 99 4 | 0 236
117 100 134 | 77 81
117 100 506 | 0 238
117 100 620 | 0 240
117 100 104 | 77 86
109 99 928 | 0 307
117 100 928 | 0 158
105 96 432 | 0 112
117 100 386 | 0 422
117 100 238 | 0 287
109 99 810 | 73 88
109 99 949 | 0 231
117 100 26 | 0 445
109 99 624 | 0 444
117 100 822 | 0 349
117 100 70 | 0 198
109 99 106 | 0 280
117 100 728 | 0 392
117 100 646 | 0 308
117 100 635 | 0 239
103 95 124 | 0 211
117 100 607 | 0 276
117 100 78 | 0 254
117 100 128 | 0 289
117 100 82 | 0 279
106 100 1 | 0 328
117 100 788 | 0 330
106 100 147 | 0 270
117 100 674 | 0 311
117 100 184 | 0 166
105 96 4 | 0 292
117 100 220 | 0 271
98 93 333 | 0 470
117 100 426 | 0 343
117 100 664 | 105 96
109 99 724 | 87 93
106 100 41 | 80 91
117 100 508 | 0 214
117 100 98 | 0 180
117 100 234 | 0 268
106 100 385 | 0 181
105 96 16 | 0 297
109 99 110 | 0 198
109 99 480 | 97 95
97 95 378 | 76 69
117 100 144 | 0 218
106 100 178 | 0 333
117 100 14 | 0 238
109 99 156 | 0 272
117 100 642 | 0 204
117 100 182 | 0 224
117 100 496 | 0 253
109 99 842 | 0 103
117 100 346 | 0 291
109 99 900 | 80 91
117 100 376 | 0 252
106 100 427 | 0 273
109 99 126 | 0 240
117 100 842 | 103 95
117 100 78 | 0 337
117 100 340 | 78 98
117 100 434 | 78 98
117 100 224 | 0 214
117 100 334 | 0 248
117 100 242 | 0 309
106 100 643 | 0 320
109 99 916 | 91 91
117 100 16 | 0 232
117 100 40 | 76 69
117 100 512 | 0 342
106 100 23 | 0 169
117 100 6 | 0 466
109 99 827 | 47 48
105 96 124 | 0 249
106 100 759 | 0 255
98 93 4 | 0 261
117 100 460 | 0 204
117 100 398 | 0 205
117 100 934 | 0 223
117 100 710 | 0 227
109 99 264 | 71 77
117 100 891 | 0 190
117 100 10 | 0 169
117 100 844 | 0 397
117 100 102 | 0 352
117 100 448 | 89 98
117 100 132 | 0 271
117 100 143 | 0 317
109 99 770 | 0 243
109 99 779 | 0 159
109 99 968 | 0 267
117 100 324 | 0 345
106 100 321 | 87 93
117 100 338 | 117 100
105 96 404 | 59 65
