117 100 1624 | 117 100
117 100 457 | 103 95
117 100 1017 | 105 96
117 100 996 | 117 100
117 100 638 | 109 99
117 100 399 | 98 93
117 100 621 | 90 92
117 100 441 | 98 93
109 99 178 | 106 100
117 100 1337 | 73 88
117 100 1332 | 117 100
117 100 520 | 117 100
117 100 1539 | 105 96
117 100 891 | 117 100
117 100 156 | 90 92
117 100 30 | 89 98
117 100 1111 | 99 97
117 100 1034 | 91 91
117 100 992 | 117 100
109 99 283 | 97 95
117 100 1716 | 117 100
117 100 61 | 83 90
117 100 1173 | 90 92
106 100 79 | 106 100
117 100 753 | 90 92
117 100 751 | 109 99
117 100 1192 | 89 98
106 100 60 | 91 91
117 100 128 | 85 100
117 100 1126 | 98 93
117 100 17 | 77 86
117 100 881 | 98 93
117 100 1178 | 87 93
109 99 48 | 85 95
117 100 888 | 103 95
117 100 973 | 106 100
117 100 795 | 105 96
117 100 689 | 106 100
117 100 531 | 117 100
117 100 149 | 109 99
117 100 1274 | 89 98
117 100 961 | 98 93
117 100 460 | 117 100
117 100 973 | 89 98
117 100 878 | 106 100
117 100 1173 | 91 91
117 100 346 | 109 99
109 99 1169 | 106 100
117 100 1457 | 91 91
109 99 701 | 80 91
117 100 303 | 117 100
117 100 1100 | 98 93
117 100 207 | 117 100
109 99 583 | 91 91
117 100 698 | 85 100
117 100 1359 | 99 97
117 100 105 | 117 100
117 100 160 | 117 100
117 100 1408 | 105 96
117 100 75 | 117 100
117 100 1023 | 105 96
117 100 1086 | 83 90
109 99 470 | 76 69
117 100 42 | 77 81
117 100 364 | 89 98
117 100 647 | 117 100
109 99 21 | 92 95
117 100 1243 | 105 96
117 100 1518 | 77 86
117 100 530 | 77 86
117 100 546 | 117 100
117 100 120 | 105 96
117 100 1110 | 106 100
117 100 909 | 85 95
117 100 1221 | 106 100
117 100 1082 | 98 93
117 100 433 | 117 100
109 99 957 | 80 91
117 100 1317 | 77 81
109 99 364 | 92 95
109 99 772 | 97 95
109 99 500 | 84 88
117 100 116 | 98 93
117 100 534 | 85 95
117 100 237 | 92 95
109 99 636 | 105 96
105 96 760 | 89 98
117 100 1488 | 117 100
117 100 1297 | 99 97
117 100 436 | 105 96
109 99 82 | 83 90
