117 100 1372 | 0 228
117 100 436 | 0 278
117 100 834 | 0 292
117 100 464 | 0 316
117 100 2001 | 0 245
117 100 81 | 89 98
117 100 2767 | 85 100
117 100 1948 | 0 244
117 100 948 | 0 426
117 100 97 | 0 125
117 100 86 | 0 283
117 100 2108 | 73 88
117 100 728 | 0 238
117 100 1348 | 117 100
117 100 2356 | 65 69
117 100 40 | 0 209
117 100 68 | 0 273
117 100 279 | 0 346
117 100 1567 | 0 262
109 99 2709 | 85 100
117 100 1090 | 0 351
117 100 754 | 97 95
117 100 4 | 0 155
117 100 604 | 0 372
117 100 1128 | 0 293
117 100 714 | 0 232
117 100 670 | 0 293
117 100 425 | 105 96
117 100 1664 | 0 282
109 99 230 | 0 231
117 100 1006 | 0 112
117 100 814 | 0 394
117 100 896 | 0 236
117 100 162 | 76 69
117 100 2533 | 99 97
117 100 94 | 0 349
117 100 1218 | 0 232
109 99 180 | 0 227
117 100 404 | 0 176
117 100 226 | 0 214
117 100 1338 | 84 88
117 100 336 | 0 226
117 100 2164 | 0 216
117 100 283 | 0 352
117 100 192 | 0 307
109 99 268 | 84 88
117 100 1036 | 91 91
117 100 112 | 0 214
117 100 310 | 73 88
117 100 1650 | 0 271
117 100 719 | 0 359
117 100 493 | 97 95
117 100 529 | 83 90
117 100 1418 | 91 91
117 100 1194 | 0 296
117 100 2529 | 0 307
117 100 12 | 89 98
117 100 2762 | 0 385
117 100 976 | 0 282
117 100 118 | 0 219
117 100 974 | 0 363
117 100 1322 | 83 90
117 100 1759 | 85 100
117 100 774 | 91 91
117 100 648 | 0 231
117 100 338 | 0 224
117 100 228 | 0 259
117 100 436 | 0 245
117 100 2985 | 103 95
117 100 682 | 0 316
117 100 2472 | 80 91
117 100 58 | 0 389
117 100 1287 | 0 214
117 100 2469 | 0 188
117 100 440 | 0 176
109 99 1024 | 0 273
117 100 1691 | 106 100
117 100 1110 | 0 416
117 100 12 | 0 326
117 100 132 | 0 117
117 100 2564 | 0 219
117 100 1993 | 76 69
117 100 1517 | 99 97
117 100 652 | 0 309
117 100 1364 | 0 352
117 100 62 | 0 150
117 100 284 | 79 74
117 100 1226 | 0 188
117 100 2341 | 0 234
117 100 462 | 89 98
117 100 349 | 91 91
117 100 2691 | 103 95
117 100 868 | 0 292
117 100 2655 | 0 304
117 100 1574 | 0 166
117 100 198 | 0 188
117 100 1930 | 63 76
117 100 436 | 0 273
117 100 1654 | 0 318
117 100 466 | 0 371
117 100 514 | 0 167
117 100 782 | 0 242
117 100 1014 | 91 91
117 100 1203 | 0 312
117 100 1141 | 79 85
109 99 398 | 0 304
117 100 624 | 0 310
117 100 1140 | 0 183
117 100 366 | 91 91
117 100 194 | 0 223
117 100 2157 | 103 95
117 100 682 | 59 65
117 100 1662 | 85 100
117 100 2097 | 0 352
109 99 274 | 0 199
117 100 474 | 97 95
117 100 138 | 0 331
117 100 508 | 63 76
117 100 1954 | 0 180
117 100 116 | 91 91
109 99 607 | 0 162
117 100 782 | 77 81
117 100 456 | 0 356
117 100 98 | 0 207
117 100 56 | 0 466
117 100 1320 | 0 150
117 100 498 | 0 194
117 100 8 | 91 91
117 100 2573 | 0 318
117 100 1278 | 103 95
109 99 14 | 0 222
117 100 306 | 0 251
109 99 272 | 0 222
117 100 1938 | 0 266
117 100 268 | 0 166
117 100 95 | 0 328
117 100 2336 | 0 307
117 100 2370 | 89 98
117 100 1602 | 103 95
117 100 328 | 0 219
117 100 1310 | 0 311
117 100 993 | 0 359
117 100 1594 | 103 95
117 100 976 | 0 304
117 100 1339 | 59 65
117 100 406 | 0 267
117 100 58 | 109 99
109 99 1324 | 0 150
117 100 1628 | 109 99
117 100 1536 | 0 283
117 100 46 | 0 326
117 100 126 | 0 362
