109 99 576 | 98 93
117 100 394 | 91 91
117 100 104 | 117 100
117 100 27 | 80 91
117 100 67 | 105 96
109 99 471 | 106 100
105 96 348 | 77 86
117 100 119 | 98 93
117 100 70 | 87 93
109 99 76 | 97 95
106 100 322 | 77 86
109 99 526 | 103 95
109 99 669 | 109 99
109 99 30 | 87 93
109 99 613 | 90 92
117 100 347 | 87 93
106 100 37 | 92 95
117 100 586 | 84 88
117 100 237 | 117 100
117 100 117 | 109 99
106 100 109 | 92 95
117 100 493 | 80 91
117 100 364 | 89 98
117 100 480 | 90 92
117 100 639 | 109 99
105 96 675 | 105 96
106 100 287 | 87 93
109 99 21 | 92 95
117 100 680 | 117 100
117 100 576 | 117 100
105 96 336 | 77 86
105 96 527 | 83 90
117 100 514 | 73 88
117 100 432 | 98 93
117 100 386 | 89 98
98 93 263 | 89 98
117 100 551 | 91 91
99 97 204 | 98 93
106 100 177 | 97 95
117 100 679 | 117 100
99 97 9 | 99 97
117 100 581 | 103 95
117 100 137 | 87 93
105 96 371 | 77 86
109 99 115 | 109 99
105 96 52 | 99 97
109 99 14 | 91 91
117 100 306 | 84 88
117 100 95 | 85 100
109 99 268 | 98 93
106 100 120 | 105 96
105 96 47 | 90 92
103 95 317 | 78 98
117 100 7 | 109 99
105 96 618 | 105 96
117 100 542 | 73 88
117 100 115 | 85 95
109 99 270 | 97 95
103 95 17 | 97 95
117 100 531 | 99 97
109 99 56 | 89 98
105 96 289 | 105 96
117 100 598 | 99 97
109 99 315 | 91 91
117 100 415 | 98 93
117 100 563 | 105 96
106 100 300 | 106 100
105 96 282 | 90 92
117 100 660 | 117 100
109 99 398 | 97 95
117 100 62 | 97 95
106 100 284 | 106 100
103 95 343 | 99 97
109 99 137 | 84 88
105 96 180 | 80 91
105 96 533 | 80 91
109 99 310 | 89 98
117 100 607 | 105 96
109 99 732 | 109 99
117 100 618 | 109 99
117 100 198 | 85 95
117 100 414 | 105 96
117 100 572 | 89 98
99 97 638 | 99 97
109 99 309 | 90 92
117 100 433 | 105 96
105 96 510 | 97 95
117 100 117 | 117 100
117 100 186 | 85 95
105 96 551 | 91 91
109 99 233 | 98 93
105 96 243 | 97 95
117 100 669 | 117 100
117 100 166 | 89 98
117 100 318 | 90 92
106 100 224 | 105 96
99 97 625 | 99 97
117 100 328 | 117 100
109 99 166 | 80 91
117 100 279 | 117 100
117 100 46 | 105 96
117 100 664 | 117 100
117 100 18 | 98 93
117 100 5 | 97 95
117 100 202 | 85 95
109 99 235 | 78 98
106 100 568 | 91 91
117 100 347 | 87 93
97 95 531 | 85 100
106 100 338 | 105 96
117 100 11 | 105 96
117 100 39 | 92 95
117 100 521 | 85 100
117 100 354 | 117 100
109 99 64 | 87 93
117 100 199 | 105 96
106 100 180 | 85 100
117 100 226 | 92 95
117 100 667 | 117 100
117 100 634 | 117 100
97 95 184 | 73 88
109 99 162 | 85 100
117 100 624 | 117 100
109 99 114 | 89 98
109 99 60 | 106 100
109 99 348 | 85 95
117 100 158 | 103 95
106 100 642 | 91 91
117 100 202 | 98 93
117 100 477 | 117 100
117 100 6 | 90 92
117 100 708 | 117 100
109 99 359 | 85 95
117 100 561 | 99 97
117 100 2 | 85 95
117 100 287 | 109 99
109 99 135 | 73 88
98 93 265 | 89 98
109 99 175 | 106 100
109 99 464 | 98 93
106 100 21 | 87 93
117 100 227 | 109 99
117 100 350 | 77 86
117 100 106 | 99 97
109 99 549 | 77 81
105 96 34 | 84 88
117 100 525 | 89 98
117 100 218 | 89 98
109 99 276 | 106 100
117 100 645 | 109 99
105 96 562 | 73 88
117 100 268 | 84 88
117 100 307 | 87 93
106 100 174 | 87 93
