117 100 105 | 76 69
117 100 98 | 0 327
117 100 2429 | 92 95
109 99 1113 | 0 254
117 100 1106 | 0 323
117 100 2420 | 0 306
117 100 17 | 105 96
117 100 500 | 0 280
117 100 83 | 0 322
117 100 211 | 91 78
117 100 1152 | 0 262
117 100 1595 | 0 285
117 100 396 | 73 88
117 100 1274 | 0 267
117 100 720 | 0 302
117 100 205 | 0 203
117 100 1047 | 0 204
117 100 575 | 0 419
117 100 940 | 109 99
117 100 653 | 0 162
117 100 209 | 0 234
117 100 86 | 0 330
117 100 313 | 73 88
117 100 1247 | 84 88
117 100 949 | 117 100
117 100 2248 | 0 256
117 100 257 | 0 185
117 100 2888 | 0 346
117 100 2254 | 0 194
117 100 237 | 90 92
106 100 103 | 0 399
117 100 440 | 0 323
117 100 1041 | 0 375
117 100 285 | 109 99
117 100 1381 | 0 169
117 100 961 | 0 326
117 100 1453 | 0 216
117 100 1726 | 0 427
117 100 2588 | 77 81
117 100 266 | 0 181
117 100 1105 | 91 91
117 100 89 | 0 236
109 99 1088 | 98 93
117 100 1549 | 85 95
117 100 2259 | 0 291
117 100 1156 | 0 288
117 100 2829 | 0 227
117 100 1513 | 0 214
109 99 690 | 0 147
117 100 175 | 71 77
117 100 487 | 73 88
117 100 297 | 91 91
117 100 1474 | 0 316
117 100 197 | 0 351
117 100 2653 | 0 232
117 100 1672 | 0 341
117 100 206 | 77 86
109 99 887 | 51 64
109 99 1959 | 73 88
117 100 850 | 98 93
117 100 850 | 0 328
117 100 1336 | 0 194
117 100 277 | 0 309
117 100 224 | 0 264
117 100 1172 | 78 98
117 100 301 | 0 247
117 100 403 | 90 92
117 100 186 | 105 96
117 100 1304 | 0 352
117 100 1200 | 0 202
117 100 479 | 77 73
117 100 960 | 0 308
117 100 1157 | 78 98
117 100 566 | 99 97
117 100 2091 | 0 195
117 100 1042 | 0 301
117 100 591 | 91 91
117 100 90 | 0 169
117 100 1095 | 0 129
117 100 1106 | 0 282
117 100 601 | 77 86
117 100 1477 | 0 262
117 100 317 | 0 264
117 100 1197 | 0 155
117 100 745 | 0 292
117 100 354 | 89 98
117 100 312 | 0 298
117 100 1915 | 0 330
117 100 2862 | 85 95
117 100 1529 | 0 249
117 100 990 | 0 227
117 100 676 | 0 187
117 100 42 | 0 253
117 100 651 | 0 316
117 100 155 | 103 95
117 100 57 | 85 100
117 100 151 | 0 325
117 100 956 | 85 95
117 100 969 | 89 98
117 100 176 | 98 93
117 100 2686 | 0 167
117 100 2620 | 0 293
117 100 623 | 0 159
117 100 1528 | 0 223
117 100 828 | 91 91
117 100 1321 | 105 96
117 100 1908 | 0 227
117 100 109 | 0 349
117 100 355 | 0 351
117 100 1990 | 0 281
117 100 401 | 0 207
117 100 2698 | 0 275
117 100 123 | 91 91
117 100 200 | 0 231
117 100 361 | 0 333
117 100 159 | 0 113
117 100 272 | 0 217
117 100 898 | 0 342
117 100 426 | 89 98
117 100 947 | 71 77
109 99 2292 | 0 295
117 100 276 | 0 233
117 100 2111 | 0 186
117 100 2861 | 0 228
117 100 54 | 0 231
117 100 1354 | 0 325
117 100 125 | 0 143
117 100 121 | 0 285
117 100 2739 | 0 268
117 100 935 | 73 88
117 100 769 | 106 100
117 100 735 | 0 269
117 100 137 | 90 92
117 100 653 | 0 366
117 100 673 | 106 100
117 100 2203 | 0 114
117 100 191 | 91 91
117 100 1729 | 0 392
117 100 1827 | 0 140
117 100 1022 | 92 95
117 100 1055 | 0 285
117 100 385 | 0 308
117 100 950 | 0 206
117 100 1595 | 0 214
117 100 1373 | 0 232
117 100 1458 | 0 378
117 100 323 | 0 321
117 100 479 | 83 90
117 100 2346 | 0 338
117 100 1422 | 0 312
117 100 545 | 0 374
117 100 1043 | 0 341
117 100 254 | 80 91
117 100 1802 | 0 204
117 100 661 | 0 212
117 100 2614 | 0 314
117 100 1483 | 0 301
117 100 425 | 87 93
117 100 284 | 85 100
117 100 883 | 78 98
117 100 266 | 0 250
117 100 418 | 0 360
117 100 460 | 0 289
117 100 2647 | 0 214
117 100 34 | 0 211
117 100 189 | 79 74
117 100 1277 | 0 202
117 100 0 | 83 90
109 99 64 | 0 346
117 100 373 | 0 249
117 100 446 | 0 181
117 100 1739 | 80 91
117 100 479 | 92 95
117 100 1768 | 85 100
117 100 520 | 0 269
117 100 791 | 77 86
109 99 455 | 0 169
117 100 621 | 0 214
117 100 458 | 0 121
117 100 232 | 117 100
117 100 271 | 0 202
117 100 2825 | 0 162
117 100 1129 | 0 206
117 100 1060 | 0 211
117 100 775 | 90 92
117 100 322 | 105 96
117 100 945 | 0 324
117 100 2746 | 0 273
117 100 1089 | 109 99
